ID,sex,owngun,race,marital,relig,attend3,partyid,degree,cappun,homosex2,premarsx2,grass,gunlaw,vote08,divlaw,getahead,natroad,natsci,eqwlth,age
138,1,2,1,1,1,3,2,1,2,1,,2,1,1,,1,2,1,4,74
1311,2,2,1,1,4,2,6,2,1,0,,2,1,1,,1,2,2,6,66
1126,2,,1,1,1,3,7,1,,,0,2,,2,2,,2,,7,70
1034,2,,1,4,4,1,,2,2,,1,1,,1,1,,1,3,1,25
1524,1,1,1,4,1,3,4,1,1,1,,2,1,2,,1,2,2,4,59
1676,2,2,1,5,4,1,3,1,2,1,,1,1,2,,1,3,3,5,45
1819,2,1,1,1,1,3,7,2,1,1,,2,1,1,,1,2,2,5,70
1778,2,2,1,5,4,1,3,2,1,0,,1,1,1,,1,1,2,3,23
532,1,,2,1,1,3,4,2,1,,1,1,,1,1,,3,3,4,35
1948,1,1,1,1,11,3,7,2,,1,,1,2,1,,1,1,3,7,71
193,1,1,1,1,4,1,3,2,2,0,1,,1,1,1,3,1,1,,65
25,1,,1,1,1,3,6,2,1,,0,2,,1,2,,1,2,7,71
1280,2,,2,1,1,3,1,2,,,0,,,1,2,,3,1,2,28
200,1,2,1,5,2,1,2,1,2,0,,1,1,2,,1,2,1,1,38
1851,2,1,1,1,1,2,,2,,,,2,1,1,,2,1,,4,79
520,2,2,1,1,2,3,4,1,,,,,1,2,,2,2,2,4,26
1334,1,1,1,5,1,3,5,2,2,1,0,,2,,3,1,1,1,,19
301,2,,1,5,1,2,5,2,2,,1,1,,2,3,,3,3,3,30
1530,1,2,3,1,2,3,2,2,1,1,1,,1,2,1,1,2,2,,38
1874,1,2,1,3,1,2,4,2,1,0,,1,2,2,,3,1,3,1,54
151,2,,1,5,4,1,3,1,2,,1,2,,,1,,2,2,1,33
1001,1,,1,1,4,1,4,2,1,,1,1,,1,3,,2,2,7,43
635,2,1,1,1,11,3,4,2,1,1,1,,1,1,2,1,2,1,,40
1747,1,1,1,1,1,1,,2,1,1,0,,1,2,2,3,1,2,,58
163,1,1,2,5,2,3,2,2,1,1,,1,1,1,,1,2,2,2,47
1104,2,1,1,5,1,1,1,2,1,1,1,,1,,1,2,2,2,,20
1108,1,,1,3,1,3,2,1,2,,0,1,,2,2,,2,3,2,33
1901,2,,1,5,1,2,6,2,1,,0,1,,,1,,1,1,4,19
854,1,2,1,1,4,1,3,1,1,0,1,,2,2,2,1,2,2,,22
1466,2,1,1,1,2,3,3,2,1,1,1,,1,1,2,1,1,2,,43
130,1,,1,1,2,1,4,1,2,,0,,,,3,,3,1,4,58
101,1,,1,3,9,3,2,2,1,,0,2,,1,1,,2,1,2,51
680,2,2,1,1,2,2,4,1,,,,2,,2,,1,3,3,3,26
681,1,,1,1,2,3,3,1,2,,0,1,,2,2,,2,2,3,36
1974,1,2,3,5,1,1,3,2,1,1,,1,1,2,,1,1,1,4,22
1152,1,2,1,5,1,1,6,1,2,1,,2,1,2,,1,3,2,4,49
1500,2,,1,1,1,1,1,2,1,,1,1,,1,2,,2,1,1,52
87,2,2,3,1,2,2,2,2,1,0,,2,1,2,,1,3,1,1,51
1143,2,,1,1,1,3,2,1,2,,0,2,,1,1,,1,3,1,63
416,2,1,1,5,2,1,3,2,2,0,,1,1,,,1,3,2,3,18
1691,1,2,1,1,2,3,2,1,,1,,2,1,1,,2,2,3,1,44
365,2,,1,1,2,2,3,1,1,,1,1,,2,2,,3,2,1,55
1232,2,2,2,5,4,1,4,2,1,0,1,,1,1,3,1,2,2,,23
1219,1,,1,5,4,1,3,1,1,,1,1,,2,1,,1,1,4,26
1125,2,1,1,1,1,3,6,2,1,1,,2,2,1,,1,1,3,1,50
1629,2,1,1,1,1,3,5,2,2,,,2,1,1,,2,2,1,7,80
1669,1,2,1,3,4,3,3,2,1,0,,1,2,2,,1,3,2,3,47
442,2,,1,5,1,1,3,2,1,,1,1,,1,1,,3,1,1,35
1325,2,2,1,1,11,3,5,2,2,1,0,,,1,2,1,2,2,,34
513,1,1,1,1,1,2,5,2,1,1,1,,2,1,2,1,3,3,,74
1949,1,,1,1,4,1,,2,1,,1,2,,2,2,,1,1,2,53
1928,1,,1,1,2,2,6,2,1,,1,2,,1,3,,2,1,7,47
1822,2,1,1,1,1,1,4,2,1,1,,2,2,2,,1,1,,5,26
972,1,,1,1,1,3,6,2,1,,0,2,,1,2,,3,2,1,75
